Time (s),Number of Solutions
0.0,1
2.562544822692871,7
388.7245714664459,15
389.865216255188,16
389.89646673202515,16
389.9589681625366,17
390.0370945930481,18
390.06834530830383,19
390.14647126197815,20
390.1620967388153,20
390.2402229309082,21
390.3964755535126,22
390.44335174560547,23
390.5371034145355,24
390.7089810371399,25
390.8027329444885,26
390.86523365974426,27
390.9433603286743,28
390.9746108055115,28
391.1621141433716,29
391.2871160507202,30
391.33399200439453,31
391.52149510383606,32
391.64649748802185,33
392.3183844089508,34
392.4590117931366,35
392.49026226997375,35
393.19339966773987,36
393.78715991973877,37
393.8652858734131,37
393.912162065506,37
393.9746630191803,37
394.0527894496918,38
394.14654088020325,39
394.45904660224915,40
394.5215473175049,41
394.5527980327606,42
394.5996742248535,42
394.64654994010925,42
398.0841097831726,43
398.1622362136841,44
398.2872383594513,45
398.31848883628845,46
398.4278657436371,47
398.61536931991577,48
398.70912051200867,48
398.8653733730316,49
398.9903755187988,50
399.0528767108917,51
399.4435086250305,52
399.5216348171234,53
402.0167279243469,54
402.1332504749298,55
403.1827440261841,56
403.35462164878845,56
406.2452943325043,57
406.30779552459717,58
406.4015474319458,59
406.51092433929443,60
406.71405243873596,61
406.85467982292175,62
406.9484317302704,62
407.1515598297119,63
407.33906292915344,64
407.52656602859497,65
408.2571940422058,66
408.41075801849365,66
408.4581489562988,67
408.5362753868103,66
408.5987763404846,67
408.67690229415894,68
408.77065348625183,69
408.8488075733185,70
408.9474470615387,71
409.0235216617584,72
409.1485240459442,73
409.2266502380371,74
409.28915190696716,74
409.3829028606415,75
410.19765281677246,76
410.27577900886536,77
410.400780916214,78
410.4632821083069,78
410.6507852077484,79
410.7289113998413,79
410.8070378303528,80
410.8539137840271,81
410.93203997612,81
411.2757954597473,82
411.5414252281189,83
411.6276767253876,84
412.0964341163635,85
412.455815076828,86
412.75269508361816,87
412.9401981830597,88
413.0026993751526,88
413.11207604408264,89
413.1902027130127,89
413.26832914352417,90
413.3308296203613,91
413.42458152770996,92
413.58083415031433,93
413.64333510398865,93
413.7370865345001,94
413.8620889186859,95
413.97146558761597,96
414.0808424949646,97
414.23709511756897,98
414.37772250175476,99
414.51835012435913,99
414.8933560848236,100
415.018358707428,100
415.1121098995209,101
415.2214870452881,102
415.44024085998535,103
415.5496175289154,104
415.6746196746826,104
415.78399682044983,105
415.8777480125427,106
415.97149991989136,107
416.0340006351471,106
416.1590030193329,107
416.362131357193,106
416.4871335029602,107
416.5652599334717,103
416.65901136398315,103
416.8777651786804,104
417.159019947052,105
417.3465235233307,105
417.44027495384216,106
417.51840114593506,106
417.6277780532837,107
417.94028329849243,108
418.04966020584106,109
418.1746623516083,109
418.2840392589569,110
418.39341592788696,110
418.487167596817,111
418.58091950416565,112
418.6902964115143,113
418.84654903411865,114
418.97155117988586,115
419.06530261039734,116
419.1434290409088,116
425.2685344219208,117
425.5185389518738,118
426.3154275417328,119
426.42480421066284,119
426.987313747406,120
427.1279413700104,121
427.768577337265,122
427.86232900619507,122
429.72173619270325,123
453.5659010410309,124
453.64402747154236,124
453.7221541404724,124
453.8159055709839,125
453.95653319358826,126
454.05028462409973,126
454.9721760749817,127
455.33155703544617,128
455.47218441963196,128
455.5659363269806,129
455.6909384727478,130
455.81594038009644,131
456.0034439563751,132
456.1440713405609,133
456.25344800949097,134
456.3628251552582,134
456.51907777786255,135
456.64407992362976,136
456.7378315925598,136
456.862833738327,137
456.97221064567566,136
457.1284635066986,137
457.2690908908844,138
457.39409279823303,139
457.4722192287445,139
457.64409732818604,140
457.8003499507904,141
457.95660305023193,142
458.065979719162,143
458.1753568649292,144
458.4253611564636,145
458.5659885406494,146
458.6441147327423,145
458.7847423553467,146
459.0191214084625,147
459.097247838974,147
459.2847511768341,148
459.5660059452057,149
460.144140958786,150
460.36289501190186,151
460.45664644241333,151
460.5503981113434,151
460.659775018692,151
463.0035660266876,152
463.1129426956177,153
463.2223196029663,154
463.3473219871521,155
463.45669865608215,155
465.5817360877991,156
465.7223632335663,157
465.8942413330078,158
466.019243478775,158
466.12862038612366,158
467.5817699432373,159
467.89427495002747,160
473.9256258010864,161
474.06625294685364,161
481.2653980255127,162
481.374258518219,163
484.6207239627838,164
485.26135993003845,165
485.3551115989685,166
485.9488718509674,167
486.0894989967346,168
486.19887590408325,168
486.3082528114319,168
486.60513281822205,169
486.80826139450073,170
486.9488890171051,170
487.0895161628723,171
487.19889283180237,171
487.3082699775696,171
487.4332721233368,170
487.52702379226685,170
487.6364004611969,168
487.7457776069641,168
487.9801564216614,169
488.1520347595215,169
488.26141142845154,169
488.4332892894745,170
488.58954191207886,170
488.7301695346832,171
510.6680495738983,172
510.7930517196655,173
511.0118055343628,174
511.57431530952454,175
511.73056864738464,175
511.8555700778961,175
512.1211993694305,176
512.2618272304535,177
512.449330329895,177
512.7462105751038,178
512.9493389129639,179
514.0431079864502,180
514.2149860858917,181
514.4337396621704,182
514.5587418079376,182
514.7306199073792,183
514.9024980068207,184
515.0431253910065,185
515.2150032520294,186
515.4025065898895,187
515.5275084972382,188
515.7931385040283,189
515.9493908882141,189
516.0587680339813,189
516.2775218486786,189
516.4025239944458,190
516.6525282859802,191
516.8244063854218,192
516.9337830543518,192
517.0587854385376,191
517.1994125843048,192
517.3400399684906,192
517.4650423526764,191
