Time (s),Number of Solutions
0,7
3,8
7,8
9,8
32,8
33,8
36,9
45,10
47,11
48,10
49,11
52,12
61,12
72,12
110,13
117,13
120,13
122,13
127,14
129,14
133,15
161,16
164,16
170,17
172,17
176,17
180,16
181,14
186,15
187,16
223,16
226,17
228,18
249,18
250,18
252,16
253,16
255,17
258,17
261,15
263,16
391,17
405,17
409,17
417,18
421,17
422,17
425,17
426,18
427,17
428,18
429,17
434,17
436,17
447,18
657,18
662,18
668,18
670,18
688,18
690,18
695,19
704,20
705,20
706,20
707,20
708,19
709,18
713,19
715,19
716,18
717,18
718,19
723,18
768,19
769,20
772,20
776,20
779,19
792,20
793,21
796,21
799,21
807,22
810,22
818,20
820,20
823,20
828,19
836,20
839,20
841,20
843,21
848,21
849,21
874,22
876,22
893,22
894,20
923,20
924,20
954,20
962,20
963,21
965,21
980,22
1126,23
1128,24
1129,24
1131,23
1133,23
1142,23
1146,24
1148,24
1151,24
1152,23
1156,23
1157,23
1162,23
1163,23
1184,24
1185,25
1189,24
1208,23
1211,23
1212,23
1222,24
1228,24
1258,24
1259,24
1260,24
1263,23
1264,23
1266,23
1271,23
1331,22
1565,22
1572,23
1574,24
1603,24
1613,24
1644,24
1645,24
1646,22
1657,22
1674,22
1679,21
1682,22
1686,22
1688,21
1693,21
1702,21
1707,21
1708,20
1709,20
1710,19
1711,18
1716,19
1717,19
1721,19
1727,20
1766,21
1789,21
1791,21
1792,21
1799,21
1905,21
1907,22
1911,21
1925,22
1926,22
1930,23
1940,23
1954,23
1960,23
1961,22
1967,22
1969,21
1976,19
1977,19
1980,20
1988,19
1991,18
1994,18
2009,19
2011,18
2019,18
2022,18
2077,17
2081,18
2091,18
2092,16
2097,16
2115,16
2118,16
2127,16
2170,17
2209,16
2265,16
2267,16
2277,17
2278,18
2330,18
2331,17
2338,17
2344,18
2351,17
2353,17
2360,17
2361,17
2364,15
2373,15
2376,15
2377,14
2380,15
2387,16
2393,17
2394,18
2403,17
2406,16
2407,16
2410,17
2420,17
2434,17
2436,16
2438,17
2444,16
2534,17
2540,17
2551,17
2580,18
2583,18
2591,18
2598,18
2602,18
2667,18
2669,16
2672,16
2687,16
2688,15
2691,13
2708,13
2711,13
2715,13
2721,13
2724,13
2729,13
2730,13
2732,13
2736,10
2740,10
2780,10
2782,10
2783,9
2825,9
2827,10
2831,10
2873,11
2875,11
2876,11
2877,11
2882,11
2886,10
2890,7
2901,8
2903,9
2908,9
2909,8
2915,8
2917,9
2919,9
2925,10
3015,11
3021,11
3022,12
3024,13
