Instance,Algorithm,Improvement_Time,DCI,Distribution Metric (DM),Hypevolume (Monte Carlo),PCI,PF-Share,Spacing,Spread
a3_o80_m10_an10_ar9_reduced,PSA,247.47,0.3745318352059926,0.2927415569758348,0.3233345794884321,0.4018650160058106,10.344827586206897,0.13846023105423633,0.6773529896507462
a3_o80_m10_an10_ar9_reduced,DBSA,46.36,0.9363295880149813,0.1612036679490629,0.6765710139471287,0.11076079510674475,89.65517241379311,0.04103146546127967,0.5982797778451509
a5_o96_m10_an10_ar10_reduced,PSA,189.65,0.4027777777777778,0.247251324487429,0.3106512182730062,0.1951575511125769,34.61538461538461,0.13980709228861146,0.6688709953513651
a5_o96_m10_an10_ar10_reduced,DBSA,37.55,0.6833333333333333,0.23896203423181073,0.36777458983326766,0.16610498485526126,65.38461538461539,0.06831988729272921,0.5722475067864422
a10_o107_m5_an57_ar12,PSA,169.8,0.4666666666666667,0.42132070076641476,0.15136406901046767,0.5413351303844068,24.778761061946902,0.06764138101195609,0.6569959781922213
a10_o107_m5_an57_ar12,DBSA,39.23,0.7696969696969697,0.22988328157920015,0.33935228164891085,0.6089723587182052,75.22123893805309,0.058058140404942435,0.5252668898882085
a10_o114_m6_an57_ar11,PSA,331.62,0.5390879478827362,0.23504877759000153,0.2248696687509243,0.15429349480573765,25.82322357019064,0.08308170881409557,0.9373372783780047
a10_o114_m6_an57_ar11,DBSA,53.78,0.8517915309446255,0.1466550192664881,0.32700128239263804,0.10864893068327186,74.17677642980935,0.07034853700929447,0.8379315115437124
a10_o128_m6_an51_ar13,PSA,200.37,0.10076530612244898,0.9695933545577773,0.007590718292917632,0.18210995792934498,7.142857142857142,0.055839649265531796,0.9138640356864351
a10_o128_m6_an51_ar13,DBSA,43.1,0.9706632653061225,0.26836748824376533,0.008652132291503571,0.11740966398079054,92.85714285714286,0.07152007382383649,0.8340105487097097
a10_o144_m6_an53_ar12,PSA,146.95,0.3675213675213675,0.817598109571861,0.6616576111993202,0.07538316500472889,30.357142857142854,0.17249025673084756,0.5269235903774684
a10_o144_m6_an53_ar12,DBSA,33.25,0.7435897435897436,0.1350540188169878,0.384960919527543,0.3988258657455921,69.64285714285714,0.054860500790237174,0.5823323940769342
a15_o170_m9_an80_ar18,PSA,420.28,0.575507614213198,0.1908822330333257,0.08265091429392941,0.07757765363914478,28.932584269662918,0.04015156783876857,0.9262269085706113
a15_o170_m9_an80_ar18,DBSA,92.9,0.758248730964467,0.0994799521418236,0.04612326284764358,0.2345692302620023,71.06741573033707,0.03407536495850284,0.786582475934944
